Document/Patent number,Title,Inventor name,Publication date
US-20190347592-A1,SYSTEM FOR MITIGATING EXPOSURE ASSOCIATED WITH IDENTIFIED IMPACTS OF TECHNOLOGICAL SYSTEM CHANGES BASED ON SOLUTION DATA MODELLING,Huneycutt; Katy Leigh et al.,2019-11-14
US-20190347334-A1,DYNAMIC DATA MANAGEMENT SYSTEM FOR SELECTIVELY TRANSFERRING DATA FILES,Sundaramoorthy; Crystal M. et al.,2019-11-14
US-20190347354-A1,SYSTEM FOR MITIGATING INTENTIONAL AND UNINTENTIONAL EXPOSURE USING SOLUTION DATA MODELLING,Huneycutt; Katy Leigh et al.,2019-11-14
US-10475124-B2,Computing architecture for managed-account transactions,Simonds; Todd,2019-11-12
US-10475129-B2,Computerized person-to-person asset routing system,Cole; Kevin T. et al.,2019-11-12
US-10474683-B2,Computerized system for evaluating technology stability,Kephart; Aaron D. et al.,2019-11-12
US-10475030-B2,System for implementing a distributed ledger across multiple network nodes,Castinado; Joseph Benjamin et al.,2019-11-12
US-10474446-B2,Installation tool for adhering to enterprise requirements,Sharma; Sumit et al.,2019-11-12
US-10474666-B2,Metadata validation tool,Potluri; Vijaya S. et al.,2019-11-12
US-10476974-B2,System for automatically establishing operative communication channel with third party computing systems for subscription regulation,Jones-McFadden; Alicia C. et al.,2019-11-12
US-10474800-B2,Generating alerts based on vehicle system privacy mode,Kurian; Manu,2019-11-12
US-10476864-B2,Job analytics aggregation tool for network nodes,Abraham; John,2019-11-12
US-10476813-B2,Computerized system for identifying and redistributing complementary resources,Dravneek; Victoria L. et al.,2019-11-12
US-10476854-B2,Quantum key distribution logon widget,Arora; Ashish,2019-11-12
US-10474443-B2,Code lineage tool,Wason; Prashant et al.,2019-11-12
US-10474755-B2,Robotics assisted production support utility,Singh; Awadhesh Pratap,2019-11-12
US-10474332-B2,Multi-use resource interaction projection system,Cantley; Kerry Michelle et al.,2019-11-12
US-10474556-B2,"Multiple ruleset version scanning, warning and correction tool",Ranjan; Prabhat et al.,2019-11-12
US-10474498-B2,Server scheduling tool,Mehra; Shekhar Singh et al.,2019-11-12
US-10474434-B1,Automation tool,Blakley; Brian Alan et al.,2019-11-12
US-10477028-B1,System for processing voice responses using a natural language processing engine,Tobin; Kyle A. et al.,2019-11-12
US-20190340036-A1,"Digital Processing System for Event and/or Time Based Triggering Management, and Control of Tasks",LaRock; Leslie et al.,2019-11-07
US-20190342228-A1,Abstraction Layer to Cloud Services,Varma; Jayachandra et al.,2019-11-07
US-10467612-B2,Volume based transaction cost recovery,Murphy; Matthew D. et al.,2019-11-05
US-10467713-B2,Communicating property data,Castinado; Joseph B. et al.,2019-11-05
US-10469315-B2,Using computing platform definitions to provide segmented computing platforms in a computing system,Nair; Suresh G. et al.,2019-11-05
US-10467842-B2,Portable item transfer container,Kurian; Manu Jacob et al.,2019-11-05
US-10467202-B2,System for multi-release and parallel development of a database,Sharma; Satyen Raghavendra et al.,2019-11-05
US-10469449-B2,Port authentication control for access control and information security,Isola; Rahul et al.,2019-11-05
US-10467499-B2,Computer architecture for emulating an output adapter for a correlithm object processing system,Lawrence; Patrick N.,2019-11-05
US-10467112-B2,Distributed data monitoring device,Lowney; Todd et al.,2019-11-05
US-10467900-B2,System for communicable integration of an automobile system and a parking system,Nelson; Mark Allan et al.,2019-11-05
US-10467121-B2,Smart tool for enterprise-wide software integration and deployment,Natari; Venkata R.,2019-11-05
US-20190332439-A1,Machine Learning Task Compartmentalization And Classification,Kurian; Manu,2019-10-31
US-20190334939-A1,Dynamic Detection of Unauthorized Activity in Multi-Channel System,Singh; Awadhesh Pratap,2019-10-31
US-20190332404-A1,COMPUTER ARCHITECTURE FOR ESTABLISHING DATA ENCRYPTION IN A CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-10-31
US-20190332888-A1,COMPUTER ARCHITECTURE FOR EMULATING A CORRELITHM OBJECT CONVERTER IN A CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-10-31
US-20190332887-A1,COMPUTER ARCHITECTURE FOR COMMUNICATIONS IN A CLOUD-BASED CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-10-31
US-20190332715-A1,COMPUTER ARCHITECTURE FOR ONLINE NODE REMAPPING IN A CLOUD-BASED CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-10-31
US-20190334912-A1,SYSTEM FOR USING A DISTRIBUTED LEDGER TO MANAGE USER ENTITLEMENTS TO COMPUTING RESOURCES,Sloane; Brandon et al.,2019-10-31
US-20190334875-A1,COMPUTER ARCHITECTURE FOR EMULATING A VIRTUAL PRIVATE NETWORK IN A CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-10-31
US-20190332403-A1,COMPUTER ARCHITECTURE FOR A CLOUD-BASED CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-10-31
US-20190332405-A1,COMPUTER ARCHITECTURE FOR EMULATING CORRELITHM OBJECT DIVERSITY IN A CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-10-31
US-20190332716-A1,COMPUTER ARCHITECTURE FOR OFFLINE NODE REMAPPING IN A CLOUD-BASED CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-10-31
US-20190332246-A1,SYSTEM FOR DYNAMICALLY RENDERING A GRAPHICAL USER INTERFACE,Pankaj; Chandan K. et al.,2019-10-31
US-20190332406-A1,COMPUTER ARCHITECTURE FOR ESTABLISHING DYNAMIC CORRELITHM OBJECT COMMUNICATIONS IN A CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-10-31
US-20190333030-A1,BLOCKCHAIN-BASED DIGITAL TOKEN UTILIZATION,Ramasamy; Suki et al.,2019-10-31
US-10459903-B2,Comparing data stores using hash sums on disparate parallel systems,Anderson; Dirk et al.,2019-10-29
US-10460385-B2,Communicating property data,Castinado; Joseph B. et al.,2019-10-29
US-10460390-B2,Computing architecture for managed-account transactions,Simonds; Todd,2019-10-29
US-10459905-B2,Centralized hierarchical configuration system for applications in a distributed network,Floyd; Rodney Shannon et al.,2019-10-29
US-10460296-B2,System for processing data using parameters associated with the data for auto-processing,Goertz; Jeffrey R. et al.,2019-10-29
US-10460367-B2,System for user authentication based on linking a randomly generated number to the user and a physical item,Kurian; Manu Jacob,2019-10-29
US-10459811-B2,System for increasing intra-application processing efficiency by transmitting failed processing work over a processing recovery network for resolution,Castagna; Brandon Matthew et al.,2019-10-29
US-10462241-B2,Interprogram communication with event handling for metric overlays,Addepalli; Veerasekhar et al.,2019-10-29
US-10459894-B2,Database shutdown and restart stability optimizer,Sharma; Anant Bondalapati et al.,2019-10-29
US-10459911-B2,System and method for inter-program file control communication,Romano; Brad E. et al.,2019-10-29
US-10460383-B2,System for transmission and use of aggregated metrics indicative of future customer circumstances,Jones-McFadden; Alicia C. et al.,2019-10-29
US-10462131-B2,Remote document execution and network transfer using augmented reality display devices,Votaw; Elizabeth S. et al.,2019-10-29
US-10460374-B2,Capturing and extracting fragmented data and data processing using machine learning,Malviya; Yugal et al.,2019-10-29
US-10459895-B2,Database storage monitoring equipment,"Ellis, Sr.; David Charles et al.",2019-10-29
US-10462140-B2,Data transmission authentication and self-destruction,Kurian; Manu et al.,2019-10-29
US-10462213-B2,Block chain encoding with fair delay for distributed network devices,Frankel; Yair et al.,2019-10-29
US-10462111-B2,Communication network with rolling encryption keys and data exfiltration control,Frankel; Yair et al.,2019-10-29
US-10462230-B2,Migrating sessions using a private cloud-cloud technology,Mishra; Amit,2019-10-29
US-10461898-B2,Parallel data transmission,Kurian; Manu J.,2019-10-29
US-10462134-B2,Network device removal for access control and information security,Isola; Rahul et al.,2019-10-29
US-10462147-B2,Network device isolation for access control and information security,Isola; Rahul et al.,2019-10-29
US-10462208-B2,File transfer system with dynamic file exchange control functions,Kurian; Manu et al.,2019-10-29
US-10462106-B2,Software defined network routing for secured communications and information security,Lee; Jisoo et al.,2019-10-29
US-10462141-B2,Network device information validation for access control and information security,Isola; Rahul et al.,2019-10-29
US-10462665-B2,Multifactor network authentication,Kurian; Manu J. et al.,2019-10-29
US-10462126-B2,Self-adjusting multifactor network authentication,Kurian; Manu J. et al.,2019-10-29
US-10459958-B2,Automated response system using smart data,Kurian; Manu et al.,2019-10-29
US-10462027-B2,Cloud network stability,Chauhan; Sandeep Kumar et al.,2019-10-29
US-10460009-B2,Computer architecture for emulating an image output adapter for a correlithm object processing system,Lawrence; Patrick N.,2019-10-29
US-10459694-B2,Intelligent checking engine,Chakinam; Srinath et al.,2019-10-29
US-10462150-B2,Multicomputer processing of user data with centralized event control,Gahnoog; Mohamed A. et al.,2019-10-29
US-10456054-B2,Electroencephalogram triggered resource distribution query system,Castinado; Joseph Benjamin et al.,2019-10-29
US-10459701-B2,Intelligent software compiler dependency fulfillment,Singh; Awadhesh Pratap et al.,2019-10-29
US-10462223-B2,Method and system for data communication,Varma; Jayachandra et al.,2019-10-29
US-10460259-B2,Dynamic progress recognition and recommendations based on machine learning,Kurian; Manu et al.,2019-10-29
US-10459766-B1,System for optimizing resource prioritization based on services efficiency,Sloane; Brandon et al.,2019-10-29
US-10460766-B1,Interactive video progress bar using a markup language,Sangoli; Shankar et al.,2019-10-29
US-10460135-B1,Foldable organic light emitting diode (“OLED”) purchasing instrument reader,Kendall; Russell,2019-10-29
US-10462425-B1,Processing system for providing a teller assistant experience using enhanced reality interfaces,Carroll; Matthew E. et al.,2019-10-29
US-20190325365-A1,WEARABLE DEVICE FOR OPERATIONAL COMPLIANCE,Shannon; Stephen Thomas et al.,2019-10-24
US-20190325372-A1,WEARABLE DEVICE FOR REGULATORY COMPLIANCE LOGGING AND CO-LOCALIZATION,Shannon; Stephen Thomas et al.,2019-10-24
US-20190325494-A1,WEARABLE DEVICE CODING FOR CUSTOMER APPLICATION AND TRANSITIONING,Shannon; Stephen Thomas et al.,2019-10-24
US-20190325056-A1,INTERCONNECTED GRAPH STRUCTURED DATABASE FOR IDENTIFYING AND REMEDIATING CONFLICTS IN RESOURCE DEPLOYMENT,Sloane; Brandon et al.,2019-10-24
US-10453014-B2,Systems and methods for utilizing compliance drivers to conserve system resources and reduce compliance violations,Rao; Ashok et al.,2019-10-22
US-10453143-B2,Computing architecture for managed-account transactions,Simonds; Todd,2019-10-22
US-10453135-B2,Computing architecture for managed-account transactions,Simonds; Todd,2019-10-22
US-10453059-B2,Non-intrusive geo-location determination associated with transaction authorization,Lloyd; Gregory Joseph et al.,2019-10-22
US-10453290-B2,Banking systems controlled by data records,Brancaccio; Joan C.,2019-10-22
US-10452524-B2,Application programming interface for providing access to computing platform definitions,Nair; Suresh G. et al.,2019-10-22
US-10452774-B2,System architecture framework,Patel; Akshay,2019-10-22
US-10454892-B2,Determining security features for external quantum-level computing processing,Kurian; Manu Jacob,2019-10-22
US-10454941-B2,Person-to-person network architecture for secure authorization and approval,Dintenfass; Katherine et al.,2019-10-22
US-10449670-B2,Event processing using robotic entities,Mummigatti; Vinaykumar et al.,2019-10-22
US-10454993-B2,Smart resource instrument authorization,Kurian; Manu Jacob,2019-10-22
US-10455424-B1,System for out-of-band asset tracking via a 5G network,Lee; Jisoo et al.,2019-10-22
US-10455366-B1,Card locating tool,Wyllie; Graham Marshall et al.,2019-10-22
US-20190317853-A1,SMART INTEGRATED CYCLIC DATA TRANSPORT,Kurian; Manu et al.,2019-10-17
US-20190318329-A1,INTERNET-OF-THINGS ENABLED REAL-TIME EVENT PROCESSING,Castinado; Joseph Benjamin et al.,2019-10-17
US-20190318333-A1,REAL-TIME NETWORK PROCESSING NUCLEUS,Castinado; Joseph Benjamin et al.,2019-10-17
US-20190318282-A1,ENTERPRISE FRAMEWORK FOR EFFICIENT AND ADAPTABLE WORKFLOW APPLICATION DATA DISTRIBUTION,Patel; Rinken et al.,2019-10-17
US-20190319950-A1,APPARATUS AND METHODS FOR MICRO-SEGMENTATION OF AN ENTERPRISE INTERNET-OF-THINGS NETWORK,Bowling; John Ryan,2019-10-17
US-20190319938-A1,NETWORK AUTHENTICATION FOR REAL-TIME INTERACTION USING PRE-AUTHORIZED DATA RECORD,Castinado; Joseph Benjamin et al.,2019-10-17
US-20190318353-A1,REAL TIME DATA PROCESSING PLATFORM FOR RESOURCES ON DELIVERY INTERACTIONS,Castinado; Joseph Benjamin et al.,2019-10-17
US-20190318328-A1,REAL-TIME DATA PROCESSING PLATFORM WITH INTEGRATED COMMUNICATION LINKAGE,Castinado; Joseph Benjamin et al.,2019-10-17
US-20190318020-A1,PLATFORM-INDEPENDENT INTELLIGENT DATA TRANSFORMER,Chauhan; Sandeep Kumar et al.,2019-10-17
US-20190318438-A1,REAL-TIME ASSOCIATE DECISION AND RELAY SYSTEM,"Bobbit, JR.; Alan K. et al.",2019-10-17
US-10445830-B2,Deploying and implementing centralized trading and tracking computing platforms to support tri-party trading,Redmond; Valerie J.,2019-10-15
US-10447722-B2,Proactive intrusion protection system,Hillis; David N. et al.,2019-10-15
US-10446157-B2,Synthesized voice authentication engine,Kurian; Manu et al.,2019-10-15
US-10447472-B2,Block computing for information silo,Kurian; Manu Jacob,2019-10-15
US-10447697-B2,Data leakage and information security using access control,Frankel; Yair et al.,2019-10-15
US-20190311093-A1,Authenticating Users Requesting Access to Computing Resources,Moloian; Armen et al.,2019-10-10
US-20190312880-A1,Preventing Unauthorized Access to Secure Information Systems Using Multi-Push Authentication Techniques,Shah; Hitesh,2019-10-10
US-20190311277-A1,DYNAMIC CONDITIONING FOR ADVANCED MISAPPROPRIATION PROTECTION,Kursun; Eren et al.,2019-10-10
US-20190312889-A1,SYSTEM FOR PROCESSING QUERIES USING AN INTERACTIVE AGENT SERVER,Philip; Charles Chandy et al.,2019-10-10
US-10438003-B2,Secure document repository,Kurian; Manu Jacob,2019-10-08
US-10438201-B2,System for generating a transaction specific tokenization for a wearable device,Jones; Ralph Brian,2019-10-08
US-10438143-B2,Collaborative decision engine for quality function deployment,Vemula; Srikanth et al.,2019-10-08
US-10439901-B2,Messaging queue spinning engine,Kurian; Manu et al.,2019-10-08
US-10438209-B2,System for secure routing of data to various networks from a process data network,Kurian; Manu Jacob,2019-10-08
US-10437778-B2,Archive validation system with data purge triggering,Cantley; Kerry M. et al.,2019-10-08
US-10437880-B2,Archive validation system with data purge triggering,Cantley; Kerry M. et al.,2019-10-08
US-10440101-B2,System for external validation of private-to-public transition protocols,Kurian; Manu Jacob et al.,2019-10-08
US-10437630-B2,System for transforming large scale electronic processing using application block chain and multi-structured data stores,Curtis; Donald Steve,2019-10-08
US-10437610-B2,System for utilizing one or more data sources to generate a customized interface,Wadley; Cameron et al.,2019-10-08
US-10439913-B2,Dynamic replacement and upgrade of existing resources based on resource utilization,Ogrinz; Michael Emil,2019-10-08
US-10438296-B2,System for analyzing historical events to determine potential catalysts and automatically generating and implementing mitigation,Dintenfass; Katherine et al.,2019-10-08
US-10440027-B2,Controlling interactions and generating alerts based on iterative fuzzy searches of a database and comparisons of multiple variables,Latta; Jason D. et al.,2019-10-08
US-10440102-B2,Multicomputer processing of client device request data using centralized event orchestrator and dynamic endpoint engine,Kates; Akiva et al.,2019-10-08
US-10437708-B2,System for refreshing and sanitizing testing data in a low-level environment,Kelly; Justin Daniel et al.,2019-10-08
US-10440051-B2,Enhanced detection of polymorphic malicious content within an entity,Sifford; Eric Eugene et al.,2019-10-08
US-10437991-B2,Distractional variable identification for authentication of resource distribution,Castinado; Joseph Benjamin et al.,2019-10-08
US-10440052-B2,Real-time linear identification of resource distribution breach,Lee; Jisoo et al.,2019-10-08
US-10437899-B2,System for distributed server data management with multi-user access,Dintenfass; Katherine et al.,2019-10-08
US-10437984-B2,Authentication protocol elevation triggering system,Votaw; Elizabeth S. et al.,2019-10-08
US-10437643-B2,Independent storage and processing of data with centralized event control,Zott; Jerome M. et al.,2019-10-08
US-10437711-B1,Framework for fault tolerant case creation,Bagga; Charanjit et al.,2019-10-08
US-20190306121-A1,System for Managing Communication Ports Between Servers,Anderson; Frederick L. et al.,2019-10-03
US-20190306267-A1,"REVERSE PROXY SERVER FOR AN INTERNET OF THINGS (""IoT"") NETWORK",Lee; Jisoo et al.,2019-10-03
US-20190303183-A1,Computer Architecture for Processing Correlithm Objects Using a Selective Context Input,Lawrence; Patrick N.,2019-10-03
US-20190303259-A1,Executing Test Scripts with Respect to a Server Stack,Dande; Pratap et al.,2019-10-03
US-20190303939-A1,Cryptocurrency Storage Distribution,Kurian; Manu et al.,2019-10-03
US-20190298173-A1,"MULTI-BIOMETRIC-FACTOR, INTERNET OF THINGS (IOT), SECURED NETWORK",Lawrence; Patrick Nicholas et al.,2019-10-03
US-20190303558-A1,Enhanced Biometric Data and Systems for Processing Events Using Enhanced Biometric Data,Kurian; Manu,2019-10-03
US-20190306232-A1,ASSET MANAGEMENT BLOCK CHAIN,Brock; Thomas V.,2019-10-03
US-20190306230-A1,Blockchain-Based Property Management,Purushothaman; Sasidhar et al.,2019-10-03
US-20190306172-A1,Differentiating Between Activities of Multiple Users using Shared Accounts to Access a Computing System,Dande; Pratap et al.,2019-10-03
US-20190303553-A1,DATA ACCESS CONTROL USING MULTI-DEVICE MULTIFACTOR AUTHENTICATION,Choiniere; Matthew M. et al.,2019-10-03
US-20190303893-A1,Blockchain-Based Property Management,Ramasamy; Suki et al.,2019-10-03
US-20190303882-A1,BLOCKCHAIN-BASED PROPERTY UTILIZATION,Purushothaman; Sasidhar et al.,2019-10-03
US-20190304038-A1,BLOCKCHAIN-BASED PROPERTY REPAIR,Purushothaman; Sasidhar et al.,2019-10-03
US-20190303597-A1,RESTRICTED MULTIPLE-APPLICATION USER EXPERIENCE VIA SINGLE-APPLICATION MODE,Smith; Brian Joseph et al.,2019-10-03
US-20190306162-A1,Enhanced Biometric Data and Systems for Processing Events Using Enhanced Biometric Data,Kurian; Manu,2019-10-03
US-10430578-B2,Service channel authentication token,Zhang; Xianhong et al.,2019-10-01
US-10430025-B2,Active selection configuration system with suggested actions,Jones-McFadden; Alicia C. et al.,2019-10-01
US-10430760-B2,Enhancing communications based on physical trade documents,McCormick; Ann et al.,2019-10-01
US-10430743-B2,Computerized system for simulating the likelihood of technology change incidents,Kephart; Aaron D. et al.,2019-10-01
US-10432716-B2,Metadata synchronization system,Boston; Michelle A. et al.,2019-10-01
US-10433196-B2,System for tracking resource allocation/usage,Dintenfass; Katherine et al.,2019-10-01
US-10430437-B2,Automated archival partitioning and synchronization on heterogeneous data systems,Purushothaman; Venugopal et al.,2019-10-01
US-10432595-B2,Secure session creation system utililizing multiple keys,Frederick; Carl R. et al.,2019-10-01
US-10432663-B2,Electronic security keys for data security based on quantum particle states that indicates type of access,Kurian; Manu Jacob,2019-10-01
US-10430769-B2,System for atypical third party channel utilization for resource distribution completion,Castinado; Joseph Benjamin et al.,2019-10-01
US-10430569-B2,Multicomputer system for user data authentication and processing,Osborne; Dennis M. et al.,2019-10-01
US-10430300-B2,"Predictive analysis, scheduling and observation system for use with loading multiple files",Vasantha; Sireesh Kumar et al.,2019-10-01
US-10430584-B2,Multiplexed—proactive resiliency system,Purushothaman; Sasidhar,2019-10-01
US-10430270-B2,System for migrating data using dynamic feedback,Chowdhury; Sanjib Kumar,2019-10-01
US-20190294773-A1,Preventing Unauthorized Access to Secured Information Using Identification Techniques,Kurian; Manu,2019-09-26
US-20190294455-A1,COMPUTER ARCHITECTURE FOR EMULATING A CORRELITHM OBJECT PROCESSING SYSTEM THAT PLACES PORTIONS OF CORRELITHM OBJECTS IN A DISTRIBUTED NODE NETWORK,Lawrence; Patrick N.,2019-09-26
US-20190294825-A1,SYSTEM FOR AUTHENTICATION OF REAL-TIME VIDEO DATA VIA DYNAMIC SCENE CHANGING,Frederick; Carl R.,2019-09-26
US-20190294809-A1,SECURE EXTENSIBLE WIRELESS COMMUNICATION WITH IOT DEVICES,"Newsom, III; Jesse Strickland",2019-09-26
US-20190294926-A1,COMPUTER ARCHITECTURE FOR TRAINING A NODE IN A CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-09-26
US-20190297093-A1,"SMART INTERNET OF THINGS (""IOT"") RELAY MONITORS",Kurian; Manu,2019-09-26
US-20190294457-A1,COMPUTER ARCHITECTURE FOR EMULATING A CORRELITHM OBJECT PROCESSING SYSTEM THAT USES PORTIONS OF A MAPPING TABLE IN A DISTRIBUTED NODE NETWORK,Lawrence; Patrick N.,2019-09-26
US-20190294456-A1,COMPUTER ARCHITECTURE FOR EMULATING A CORRELITHM OBJECT PROCESSING SYSTEM THAT PLACES PORTIONS OF A MAPPING TABLE IN A DISTRIBUTED NODE NETWORK,Lawrence; Patrick N.,2019-09-26
US-20190294460-A1,COMPUTER ARCHITECTURE FOR EMULATING A CORRELITHM OBJECT PROCESSING SYSTEM THAT USES MULTIPLE CORRELITHM OBJECTS IN A DISTRIBUTED NODE NETWORK,Lawrence; Patrick N.,2019-09-26
US-20190294459-A1,COMPUTER ARCHITECTURE FOR EMULATING A CORRELITHM OBJECT PROCESSING SYSTEM THAT USES PORTIONS OF CORRELITHM OBJECTS IN A DISTRIBUTED NODE NETWORK,Lawrence; Patrick N.,2019-09-26
US-20190294458-A1,COMPUTER ARCHITECTURE FOR EMULATING A CORRELITHM OBJECT PROCESSING SYSTEM THAT PLACES MULTIPLE CORRELITHM OBJECTS IN A DISTRIBUTED NODE NETWORK,Lawrence; Patrick N.,2019-09-26
US-20190294454-A1,COMPUTER ARCHITECTURE FOR EMULATING A CORRELITHM OBJECT PROCESSING SYSTEM THAT USES PORTIONS OF CORRELITHM OBJECTS AND PORTIONS OF A MAPPING TABLE IN A DISTRIBUTED NODE NETWORK,Lawrence; Patrick N.,2019-09-26
US-20190294529-A1,FRAMEWORK FOR FAULT TOLERANT CASE CREATION,Bagga; Charanjit et al.,2019-09-26
US-20190294453-A1,COMPUTER ARCHITECTURE FOR EMULATING A CORRELITHM OBJECT PROCESSING SYSTEM THAT PLACES PORTIONS OF CORRELITHM OBJECTS AND PORTIONS OF A MAPPING TABLE IN A DISTRIBUTED NODE NETWORK,Lawrence; Patrick N.,2019-09-26
US-20190295048-A1,Automated Check Encoding Error Resolution,Delker; Andrew et al.,2019-09-26
US-20190295002-A1,COMPUTER ARCHITECTURE FOR TRAINING A CORRELITHM OBJECT PROCESSING SYSTEM,Lawrence; Patrick N.,2019-09-26
US-20190297111-A1,"NODES ON AN INTERNET OF THINGS (""IoT"") WITH DUAL-NETWORK ACCESS PORTS",Kurian; Manu,2019-09-26
US-20190297088-A1,"PEER TO PEER INTERNET OF THINGS (""IOT"") VALIDATION SYSTEM",Lee; Jisoo,2019-09-26
US-10423605-B2,Database compliance tool,Shah; Mitul S. et al.,2019-09-24
US-10425408-B2,Encrypted biometric authenication,Chakraborty; Pinak et al.,2019-09-24
US-10425232-B2,Encrypted biometric registration,Chakraborty; Pinak et al.,2019-09-24
US-10425433-B2,Network security database filtering tool,Chakraborty; Pinak et al.,2019-09-24
US-10423911-B2,System for platform activity gathering for achievement leveraging virtual visualization,Achtner; Edward J. et al.,2019-09-24
US-10425417-B2,Certificate system for verifying authorized and unauthorized secure sessions,Frederick; Carl R. et al.,2019-09-24
US-10423590-B2,System and method of managing data in a distributed computing environment,Tigli; A. Ugur et al.,2019-09-24
US-10425496-B2,Operating distributed computer systems,Bedi; Kamaljeet Singh et al.,2019-09-24
US-10423432-B2,Dynamic cloud stack testing,Chauhan; Sandeep Kumar et al.,2019-09-24
US-10425456-B2,Request processing system using a splitting engine,Kurian; Manu J. et al.,2019-09-24
US-20190286415-A1,FACILITATING NETWORK SECURITY ANALYSIS USING VIRTUAL REALITY DISPLAY DEVICES,Ogrinz; Michael et al.,2019-09-19
US-20190286428-A1,INTELLIGENT SOFTWARE COMPILER DEPENDENCY FULFILLMENT,Singh; Awadhesh Pratap et al.,2019-09-19
US-20190289026-A1,"SMART INTERNET OF THINGS (""IoT"") WEB OF TRUST",Kurian; Manu,2019-09-19
US-20190286564-A1,SYSTEM FOR TRIGGERING CROSS CHANNEL DATA CACHING,Chauhan; Sandeep Kumar et al.,2019-09-19
US-20190286900-A1,Dynamic Duplicate Detection,"Pepe, JR.; Michael J. et al.",2019-09-19
US-20190287168-A1,SYSTEM AND PLATFORM FOR EXECUTION OF CONSOLIDATED RESOURCE-BASED ACTION,"Williams, III; Ather et al.",2019-09-19
US-20190289007-A1,Preventing Unauthorized Access to Secure Information Systems Using Advanced Pre-Authentication Techniques,Zhang; Xianhong et al.,2019-09-19
US-20190289004-A1,"INTERNET OF THINGS (""IOT"") CHAIN LINK",Kurian; Manu,2019-09-19
US-20190289025-A1,CROSS-CHANNEL DETECTION SYSTEM WITH REAL-TIME DYNAMIC NOTIFICATION PROCESSING,Kursun; Eren et al.,2019-09-19
US-10417642-B2,User interface for presenting relevant questions to representative,Sheldon; Andrew et al.,2019-09-17
US-10417616-B2,Real-time data processing,Kendall; Charles R. et al.,2019-09-17
US-10416958-B2,Hierarchical clustering,Singh; Mandeep et al.,2019-09-17
US-10419415-B2,Centralized authentication and reporting tool,Kadakia; Apurva R. et al.,2019-09-17
US-10417073-B2,Application server deployment system for domain generation and testing with an administrative server virtual machine and managed server virtual machines,Ackerman; Kevin J.,2019-09-17
US-10419539-B2,Data transfer path selection,Kurian; Manu J.,2019-09-17
US-10417401-B2,Dynamic digital consent,Votaw; Elizabeth S. et al.,2019-09-17
US-10419570-B2,Smart factory application integration,Yadav; Durgesh Singh et al.,2019-09-17
US-10419265-B2,Request processing system using a combining engine,Kurian; Manu J. et al.,2019-09-17
US-20190279170-A1,DYNAMIC RESOURCE MANAGEMENT ASSOCIATED WITH PAYMENT INSTRUMENT EXCEPTIONS PROCESSING,Smith; Michael Gerald et al.,2019-09-12
US-20190279176-A1,RECURRING EVENT ANALYSES AND DATA PUSH,Hsieh; Matthew et al.,2019-09-12
US-20190278578-A1,Install File Size Optimization and Installation Verification System,Devagupthapu; Sunil et al.,2019-09-12
US-20190280867-A1,"INTERNET OF THINGS (""IOT"") MULTI-LAYERED EMBEDDED HANDSHAKE",Kurian; Manu,2019-09-12
US-20190280936-A1,IOT CIRCUITRY MODULES,Kurian; Manu,2019-09-12
US-20190278621-A1,Network Error Detection Using Virtual Reality Display Devices,Thomas; James M. et al.,2019-09-12
US-20190281082-A1,Prerequisite Quantitative Risk Assessment and Adjustment of Cyber-Attack Robustness for a Computer System,Carmichael; Martin Anthony,2019-09-12
US-20190281056-A1,DYNAMIC MISAPPROPRIATION DECOMPOSITION VECTOR ASSESSMENT,Kursun; Eren,2019-09-12
US-20190278693-A1,DEPLOYMENT TOOL,Tatikonda; Srinivas et al.,2019-09-12
US-20190280943-A1,DYNAMIC USER INTERFACE COMPUTING PLATFORM,Kaw; Sidhartha et al.,2019-09-12
US-10410186-B2,Transaction storing and forwarding,Folk; Amy Baker et al.,2019-09-10
US-10409793-B2,Secure and flexible inter-program communication,Smith; Terence,2019-09-10
US-10410168-B2,Preventing restricted trades using physical documents,McCormick; Ann et al.,2019-09-10
US-10410228-B2,System for automatic responses to predicted tail event outcomes,Boyer; Carol Ann et al.,2019-09-10
US-10409622-B2,Orchestration pipeline for providing and operating segmented computing resources,Nair; Suresh G. et al.,2019-09-10
US-10412093-B2,Preventing unauthorized access to secured information systems by injecting device data collectors,Zhang; Xianhong,2019-09-10
US-10412082-B2,Multi-variable composition at channel for multi-faceted authentication,Wadley; Cameron Darnell et al.,2019-09-10
US-10409638-B2,"Digital processing system for event and/or time based triggering management, and control of tasks",LaRock; Leslie et al.,2019-09-10
US-10409885-B2,Computer architecture for emulating a distance measuring device for a correlithm object processing system,Lawrence; Patrick N.,2019-09-10
